Component1_fraction,Component2_fraction,Component3_fraction,Component4_fraction,Component5_fraction,Component1_Property1,Component2_Property1,Component3_Property1,Component4_Property1,Component5_Property1,Component1_Property2,Component2_Property2,Component3_Property2,Component4_Property2,Component5_Property2,Component1_Property3,Component2_Property3,Component3_Property3,Component4_Property3,Component5_Property3,Component1_Property4,Component2_Property4,Component3_Property4,Component4_Property4,Component5_Property4,Component1_Property5,Component2_Property5,Component3_Property5,Component4_Property5,Component5_Property5,Component1_Property6,Component2_Property6,Component3_Property6,Component4_Property6,Component5_Property6,Component1_Property7,Component2_Property7,Component3_Property7,Component4_Property7,Component5_Property7,Component1_Property8,Component2_Property8,Component3_Property8,Component4_Property8,Component5_Property8,Component1_Property9,Component2_Property9,Component3_Property9,Component4_Property9,Component5_Property9,Component1_Property10,Component2_Property10,Component3_Property10,Component4_Property10,Component5_Property10,BlendProperty1,BlendProperty2,BlendProperty3,BlendProperty4,BlendProperty5,BlendProperty6,BlendProperty7,BlendProperty8,BlendProperty9,BlendProperty10
0.21,0.0,0.42,0.25,0.12,-0.0217822396792892,1.981250612007177,0.0200356225325539,0.1403151240546649,1.0320288631056806,-1.2297994570374926,-0.5802742850352095,0.1339980409881218,0.8178351791469262,0.2161163880813474,-0.3933220542636423,0.2211892949766066,0.6561035770666948,0.0744610778539929,-3.082937535673653,-1.763084912416028,0.9845148240213166,-1.548114528493192,-1.654289586844628,-1.4100492612241635,0.0517794851298262,1.0058244730685235,-0.4308684687946812,1.7436077217701325,0.2967128051436503,-1.4833331178815432,-1.7483585370025725,1.503443262771482,0.0230426400472773,1.741302611356342,-0.5093797968821361,-0.4687331134214367,-1.31767543026822,0.1321549212547532,0.2212368959470617,0.2938149021199543,-0.1157528896007363,-0.9179915882721276,-0.274703522878247,0.5133255022814384,0.4803682412455972,1.04496703449017,-0.4509558120709413,0.6745717934448435,-0.636394315804448,-1.244962923296729,-1.355050374548414,-0.3144230915121407,0.9935934282505182,-2.7289283361006493,0.4891432533865898,0.6075885327363487,0.3216703677115312,-1.2360546972600914,1.6011320973053915,1.3846623618740992,0.3058495749984994,0.1934599398371543,0.5803742494278266,-0.7627375675516355
0.02,0.33,0.19,0.46,0.0,-0.224339175550124,1.148036331804602,-1.1078401803658766,0.1495331036848675,-0.3540001026395297,-1.0750411690639647,0.8928350204710318,1.363473423158208,-1.7436841389688298,1.273144089164732,-0.6910839778838997,-0.2556195861148259,1.2707759830566352,-0.3337982125079791,-2.086526231483401,-1.8697094775947216,0.8962340963463649,-1.541201926571144,-0.2447368837854067,-0.1753814141904842,-0.3753397560047381,1.0819671073312045,-0.0172813586391238,-1.9137000829724424,-0.4367472466332147,-0.2221447155809072,0.3441092851022615,0.7033652155074253,-0.7371210291322939,0.9886431556783069,-1.2046705231057224,0.7957898768192031,0.2484766060383554,0.366540154136562,0.1250721018444595,0.9483376214120796,0.8126208896050657,-0.5747243802670765,-0.837602024403153,0.6363285196446465,-1.958826206935642,-0.0196028435328016,-0.8079230943016029,0.1487146875945144,1.439313145398584,-1.160434823956429,-0.0142761845479105,-0.1359676232853176,-1.221155411823989,0.8962221679944057,-1.257481312010733,-1.4752827417741183,-0.437385065829467,-1.4029112792401803,0.1479412457250036,-1.1432437104946194,-0.4391713367454615,-1.3790407671247746,-1.2809886853631245,-0.5036254895836161
0.08,0.08,0.18,0.5,0.16,0.4577629741282394,0.2425908402330286,-0.9224920571928956,0.908212905422034,0.9720033274425198,0.2404042787109982,2.210004738238435,-2.652413482874409,-0.5938509978529449,-0.6782550818341998,-0.2706261862392123,1.434055601796619,0.4994054003284166,-0.9416732246931248,1.437899237548544,-3.062889135546776,-0.2785786642510793,0.3563073010312326,0.4803208016011722,-0.047104235277895,0.1858450819446986,-0.020312504109075,-0.7244717815198486,-2.135804849984079,-3.052836624018158,-1.5194676069269628,-0.1029431601316082,0.6137398809728624,-0.5919774087609037,1.836633075576786,0.0206194223404432,2.0458335961792216,-1.6895792406458003,-0.2791328312862751,-0.6649661685903664,-0.67113576346276,0.3978082505576598,2.1489105461107214,-0.98311489377658,1.0394227452204627,-0.7989780578601017,-0.4440266032566886,0.1484048380566015,-0.7936071763339481,0.1238339324428741,0.0068288087211009,0.6687336233579437,0.0154491376344113,-0.0986606282638943,-0.4243139217691458,1.7843486974490672,0.4504672382036853,0.6226869307869605,1.3756135424282403,-0.4287896957393736,1.1616162827200678,0.6012889020693817,0.8729500080013456,0.6599999340605597,2.024575938538991
0.25,0.42,0.0,0.07,0.26,-0.5777337565362065,-0.9308256312524084,0.8152839849766129,0.4475143147739213,0.4557167466409534,-0.5878148641303701,1.962580592359476,-1.1478910298250256,0.268938182407836,0.2073177323018009,0.9129400528744844,-0.5148681307519687,0.2176084029344357,0.3192160332552732,-1.3379756893881216,0.7349763289133799,-0.2310428878107195,0.7537819115490355,0.9924244814895942,-0.9706999234485424,-0.2382662772100427,0.4861126673964041,1.2344509141179882,0.4633156474486704,1.0667367136683246,-1.1458072164610242,0.1358884697525477,-0.9987519782353974,0.9111271459369408,-0.2612131521625429,-0.5390611750210267,-1.5590851640836256,-0.6317772360262468,0.9313979597150824,-0.0965091347569788,0.7545058176277628,2.351753286502597,-1.119210264781967,-0.2755741126950117,-1.273487287862905,-0.5341352478213446,1.1555126974996677,-0.7604283750649757,0.4501591957642341,-0.9737788004098946,0.0529721672981737,-1.0247848724977358,0.1189507939773822,2.400556067918312,-0.5764302543344013,-0.0664219813006188,0.4837304382510474,-1.86544238253051,-0.0462947214020736,-0.1638196619001531,-0.2096928316440718,-1.8405655038551727,0.3002933987559251,-0.351336305975824,-1.5519142045934464
0.26,0.16,0.08,0.5,0.0,0.1204149511331279,0.6662677805036773,-0.6269342413731296,2.72535723773918,0.3922587884363798,0.1276143400184264,-0.1774303500432038,-1.5175323292553726,0.1144780371901931,0.6260861871067142,1.3423755909599877,-0.0067930935233964,-0.3706590616714298,0.5765096646504708,0.1152391351441983,-0.5800599749571819,-1.079896038531416,-1.330367567948658,-1.52246091677434,0.4873840101912302,0.6385313199077405,-0.1437248945415415,-0.2391381916236208,1.3215305502275043,1.566761097924693,0.148538301255814,0.2820466995901141,0.2398461284992159,0.4200000247567912,-1.89623141614884,-0.5929142143987732,2.051079708817128,-0.4429222197457677,-0.0502625450605051,0.5072936408885217,-0.7929304600935194,0.0603744544401624,-0.7855870872037484,1.4141163516702917,0.0091961972414477,-0.3893500360806738,1.7992381274279488,-0.9123736322243812,1.7675572874775785,-0.467038084587822,2.104922404906916,0.858593058568229,-0.4691096495945881,0.7157887831867861,-2.038340976641519,-0.1189125768046637,-1.172398318578621,0.3017854466883244,-1.7874068811942954,-0.4933611015639672,-0.5280486823931384,0.2863439189439016,-0.2651921974935768,0.4305133082369839,0.7350734293740209
0.5,0.0,0.0,0.5,0.0,-1.1260322995820369,0.3000010247409522,-0.985340558258021,-0.6123529518367289,0.1117210338934837,-0.4317450652418155,0.1157360749058112,-0.9666894205161564,-1.3681404811757194,0.1920984358182606,0.0161629361756126,0.5892180078408943,-0.9420446785071483,-1.0429857267239853,-0.4591464393765522,-0.9608619934525192,0.0066359943910764,0.9680725711325456,0.0848347913903101,1.3757034741609175,-0.0171869516932091,-0.8844547493318468,-0.5266465364096543,-0.5214442925724363,-2.0474669957548133,3.183023370081315,0.7403679611635899,-1.0453658854781005,0.1969371976596992,-0.4440018771129218,0.0287951312888787,-2.0583052427066697,1.6925451811733243,0.2869976542897936,-1.5517786424693856,-0.7663188139800912,-0.1655579800389192,-1.9239845121710395,0.5554660523932354,-0.3127387022074056,0.5744674399116727,-0.1759912285624266,-0.1901133002474773,0.6927452274262966,-0.3926713262307061,-0.0019506798577223,0.6016430396952919,-0.5924816117725402,0.2780670730679182,-0.752109025656922,-1.517786946987647,-1.907974774910544,0.3049853190368886,-1.2650732332566283,1.5582181816331466,1.1449484371311094,0.289515570334895,-0.2726559048974892,0.1792871982406693,0.439889425567733
0.22,0.0,0.3,0.26,0.22,-1.3705571563523622,0.3431012522795504,-0.1512240449167702,0.0220845157543588,-1.0871990445334907,1.9489751232661627,0.3205367334694903,1.006810751391855,0.431353356563727,-0.2918276320568095,-0.5863436027410976,0.6836678545051829,0.942662121267638,1.2270161752149418,-0.379930360622369,-1.0928733598642348,0.1696157993294473,-0.379884803666956,-0.6351525605320253,1.0924247040622808,-0.6215563809243646,0.40409325263694,0.5394504271155314,0.1341943983247451,0.5694409754379168,0.186838152940662,1.3485476609249585,-0.3747587843260851,-0.4184995313983419,0.4674456831175904,-1.9340859475488723,0.3368599432552652,1.5696977433986468,-0.5750309307162498,1.0199287790324385,1.0617156113651025,0.501899166213928,-0.0243114353856986,1.4939618748649417,-1.1747187416740237,0.0914398053796343,0.4674588697020688,0.5450141269807803,-0.313594023301336,-0.946203731397224,0.0552180829811284,1.0380776612533615,1.021289049458325,0.961302482422076,-0.0999838824044931,0.8442898506946835,1.990310011127938,1.2267771177333169,1.3864954934269424,1.1821532446050276,1.2714725377381928,1.1939119644761955,2.1220233941269906,0.2153052785268762,1.0431992691680845
0.04,0.06,0.31,0.4,0.19,-1.1454116042326934,1.3413911075212237,0.2924124331899881,0.2549386968474983,0.0044787588802233,-0.0015694851120132,0.2228145918198161,-1.7384185885368448,-0.9097319386091955,-0.9940554838676608,0.8924907415370813,-1.467834514681978,-0.0403808604247205,-0.1968758706543922,-0.655668558097733,-0.7171487016155037,-0.5434208472759376,1.7146335787138094,-0.1129082137151186,1.6301198790042206,-0.4606346950039486,-1.6775646042021872,0.410062964864762,1.0426627829713966,-0.1562424351649801,1.926842368884356,1.3932865437060695,0.8278145229001136,0.1292961037641347,0.7265563809332815,-0.1501818015605981,0.1171527459798016,-1.6078337441166284,1.6648858649687492,-0.5063978579091417,-1.383709003811618,1.2660367821408862,0.0404843940445797,0.4006254349830513,0.1747403006948369,0.8086524848677911,-1.4226930021788806,1.3527081869869162,-1.148516754797483,-0.3892342071469752,-0.4831891584690461,0.6798001113847727,-1.4989699944215489,1.2355192446159862,1.0393293327995334,1.8012888441799266,0.4353230170439092,1.19637833042198,2.7286027832667803,-1.2958914310981977,2.099864463509322,1.1642570239704209,1.5566841450814874,1.1148568336749818,1.2881303991920523
0.05,0.17,0.41,0.33,0.04,0.2285440649800878,1.5064666825603217,0.569585313881009,1.367107978316433,1.0320288631056806,-0.8701175885905471,-1.0818799589284718,-0.2109339480819261,-0.4148628467423722,1.273144089164732,-1.3160348829026371,-1.1082737191048322,-1.3753454379409007,1.2851956318267217,-0.4334771176896575,-0.7120713413688997,-0.210670412193422,2.146671198841855,-0.4931832235332546,-2.0396764143867925,0.6845089444564307,-0.3182397240764752,-0.2077926422223613,1.7373585841285386,1.2606070138124734,0.0615177901838886,0.0270687059954693,0.6923394435366695,0.610145112114155,0.4685977128966894,-0.4041619773718213,1.1489581796029706,-0.4722589213038974,2.0819006774987363,0.5363015255481156,-0.3920229170172727,-0.9633011068151672,-0.3652680944343215,0.7197587878140074,0.4483806065085181,-1.965092027536476,1.1903421529684113,2.172039399315964,-1.4173663297617682,-1.6945582955371084,-0.8362062689989479,0.9000923886688381,1.1367380415881518,-0.3303353507155661,-0.0247919822526462,0.0310435108057693,-0.6342376023651918,0.170133555776066,0.0298789355888357,-0.584670149551952,0.2888272773347173,0.1570991247609877,-0.0617695839359124,0.2946736911575638,-0.1999053811896457
0.13,0.07,0.48,0.22,0.1,0.0801751210942062,0.6770002482306762,0.2854181643910027,0.2344988289718582,0.5202630339440155,0.654185972402921,-1.4904416788042327,0.1562114614130377,-0.0959987701342763,0.074624491085934,1.0640654512948198,-0.3064270898376854,0.8881207669333204,1.2826878966279367,1.437899237548544,0.0698421366081931,-0.4687217700125154,2.3782433632304865,-0.168681881821779,0.7792145922173741,1.4248776089180546,0.6406975456813737,-0.5975223064447349,0.3258346193336163,1.6045528453841764,-0.3157966497360792,0.9817224603775154,-1.4034305593798715,-0.1347402812368464,0.2371357297793761,-0.546703685559784,-0.4576113546290785,-0.8982522751792875,1.0716048727783198,0.3149640526833137,-0.4603467712247704,-0.0426824454976611,0.4492506420318632,-0.3962129873037516,1.3304107480258427,0.510690337367485,0.6239849205635868,-0.3875664457591079,-0.6413020747732786,0.3374821300339595,-0.1173090763004024,-0.40506154299531,-0.6020394804020248,-0.3031699518440218,-0.5736582027159016,0.1526069581208356,0.2936163761917297,0.1470487624042968,1.3139491534355998,-0.0829382943558918,-0.6780592926937471,0.1344218173153965,0.5382539524571911,-0.853402617965396,-1.302577343169385
0.31,0.0,0.19,0.5,0.0,-0.056714362075052,0.6425882088520387,0.1909955356047745,-0.4055495827419595,1.0320288631056806,-0.0933752491641047,2.318642651029828,-1.5437391735769042,-2.3552269885966206,0.3671203453789741,1.0201742464730723,1.1578712225851882,-1.0429028972364824,0.099036882802072,1.1588488695329373,0.7400536891599838,-0.2310428878107195,-0.7393401036134905,-1.1523265738846884,-0.0823804594788567,1.5688262465237717,-0.7643640174410422,-1.9065472778297128,-0.7026692841786463,-0.0666064132123369,0.622076043465273,-0.525944251088425,-0.7100077518725357,-0.3583586820004344,1.2442977641567006,0.8724927482069178,-0.9442407629211502,1.1498162023478664,0.3871151474302612,-0.5095667864854011,0.277476589157291,0.3671324509106151,0.5163570204185698,-1.3914215178389466,-0.4756675749585269,1.847659808070131,-0.9956535916490395,0.6937426103273474,0.3891902559555019,-0.1102807469649761,-0.1977536925807853,-0.9552734945792158,-0.8289130989229474,1.7050193458676042,-0.7219629643057194,-0.6531236828663499,-2.013713890508257,1.1024392207606275,-0.8878322653016467,0.8050188018903754,-0.5969929527838191,1.0719619684925616,-0.483249531451068,-0.088532955887509,0.5187795534506636
